,Year Range,State,Prisoners
2,1914-1926,Arkansas,59
3,1914-1926,California,62
4,1914-1926,Colorado,200
5,1914-1926,Connecticut,13
6,1914-1926,D.C.,11
7,1914-1926,Delaware,2
8,1914-1926,Florida,3
9,1914-1926,Georgia,41
10,1914-1926,Idaho,5
11,1914-1926,Illinois,200
12,1914-1926,Indiana,94
13,1914-1926,Iowa,200
14,1914-1926,Kansas,200
15,1914-1926,Kentucky,111
16,1914-1926,Louisiana,51
17,1914-1926,Maine,5
18,1914-1926,Maryland,24
19,1914-1926,Massachusetts,55
20,1914-1926,Michigan,95
21,1914-1926,Minnesota,35
22,1914-1926,Mississippi,22
23,1914-1926,Missouri,200
24,1914-1926,Montana,22
25,1914-1926,Nebraska,128
26,1914-1926,Nevada,5
27,1914-1926,New Hampshire,6
28,1914-1926,New Jersey,27
29,1914-1926,New Mexico,188
30,1914-1926,New York,180
31,1914-1926,North Carolina,26
32,1914-1926,North Dakota,6
33,1914-1926,Ohio,140
34,1914-1926,Oklahoma,96
35,1914-1926,Oregon,19
36,1914-1926,Pennsylvania,144
37,1914-1926,Rhode Island,6
38,1914-1926,South Carolina,6
39,1914-1926,South Dakota,15
40,1914-1926,Tennessee,80
41,1914-1926,Texas,200
42,1914-1926,Utah,21
43,1914-1926,Vermont,10
44,1914-1926,Virginia,46
45,1914-1926,Washington,17
46,1914-1926,West Virginia,28
47,1914-1926,Wisconsin,52
48,1914-1926,Wyoming,30
0,1928-1940,Alabama,47
1,1928-1940,Arizona,41
2,1928-1940,Arkansas,116
3,1928-1940,California,96
4,1928-1940,Colorado,200
5,1928-1940,Connecticut,18
6,1928-1940,D.C.,4
7,1928-1940,Delaware,3
8,1928-1940,Florida,18
9,1928-1940,Georgia,44
10,1928-1940,Idaho,25
11,1928-1940,Illinois,200
12,1928-1940,Indiana,139
13,1928-1940,Iowa,200
14,1928-1940,Kansas,200
15,1928-1940,Kentucky,139
16,1928-1940,Louisiana,45
17,1928-1940,Maine,18
18,1928-1940,Maryland,17
19,1928-1940,Massachusetts,52
20,1928-1940,Michigan,110
21,1928-1940,Minnesota,71
22,1928-1940,Mississippi,41
23,1928-1940,Missouri,200
24,1928-1940,Montana,33
25,1928-1940,Nebraska,200
26,1928-1940,Nevada,7
27,1928-1940,New Hampshire,1
28,1928-1940,New Jersey,19
29,1928-1940,New Mexico,200
30,1928-1940,New York,182
31,1928-1940,North Carolina,43
32,1928-1940,North Dakota,16
33,1928-1940,Ohio,177
34,1928-1940,Oklahoma,200
35,1928-1940,Oregon,18
36,1928-1940,Pennsylvania,170
37,1928-1940,Rhode Island,10
38,1928-1940,South Carolina,12
39,1928-1940,South Dakota,40
40,1928-1940,Tennessee,97
41,1928-1940,Texas,200
42,1928-1940,Utah,42
43,1928-1940,Vermont,8
44,1928-1940,Virginia,47
45,1928-1940,Washington,28
46,1928-1940,West Virginia,45
47,1928-1940,Wisconsin,71
48,1928-1940,Wyoming,54
