,variable,column,year,sample,population
50,Black/African American/Negro,RACE,1930,1930 5%,10389.369999999999
51,Other Asian or Pacific Islander,RACE,1930,1930 5%,199.66000000000003
52,American Indian or Alaska Native,RACE,1930,1930 5%,677.3700000000001
53,Chinese,RACE,1930,1930 5%,340.9199999999999
54,White,RACE,1940,1940 1%,1050210.0
55,Black/African American/Negro,RACE,1940,1940 1%,10204.0
56,Other Asian or Pacific Islander,RACE,1940,1940 1%,1000.0
57,Japanese,RACE,1940,1940 1%,3504.0
58,American Indian or Alaska Native,RACE,1940,1940 1%,700.0
59,Chinese,RACE,1940,1940 1%,200.0
60,White,RACED,1870,1870 1%,38687.19000000012
61,Mulatto,RACED,1870,1870 1%,200.3
62,American Indian/Alaska Native,RACED,1870,1870 1%,99.49
63,White,RACED,1870,1870 1% sample with black oversample,38692.540000000045
64,Black/African American/Negro,RACED,1870,1870 1% sample with black oversample,95.86
65,Mulatto,RACED,1870,1870 1% sample with black oversample,103.92
66,American Indian/Alaska Native,RACED,1870,1870 1% sample with black oversample,99.49
67,White,RACED,1880,1880 1%,182105.55000000083
68,Black/African American/Negro,RACED,1880,1880 1%,2562.029999999999
69,Chinese,RACED,1880,1880 1%,634.5699999999999
70,Mulatto,RACED,1880,1880 1%,8944.489999999989
71,American Indian/Alaska Native,RACED,1880,1880 1%,72.25
72,White,RACED,1880,1880 10%,191014.88999998645
73,Chinese,RACED,1880,1880 10%,304.31999999999977
74,Black/African American/Negro,RACED,1880,1880 10%,1600.590000000007
75,Mulatto,RACED,1880,1880 10%,1689.3700000000051
76,American Indian/Alaska Native,RACED,1880,1880 10%,101.15000000000002
77,White,RACED,1900,1900 5%,526958.3100000662
78,Black/African American/Negro,RACED,1900,1900 5%,8330.219999999988
79,Chinese,RACED,1900,1900 5%,921.2600000000002
80,Japanese,RACED,1900,1900 5%,19.56
81,American Indian/Alaska Native,RACED,1900,1900 5%,38.019999999999996
82,Portuguese,RACED,1900,1900 5%,1889.3299999999963
83,White,RACED,1900,1900 1%,531949.0
84,Chinese,RACED,1900,1900 1%,1305.0
85,Black/African American/Negro,RACED,1900,1900 1%,8213.0
86,American Indian/Alaska Native,RACED,1900,1900 1%,1202.0
87,White,RACED,1900,1900 1% sample with oversamples,526669.2399999842
88,Chinese,RACED,1900,1900 1% sample with oversamples,1239.0800000000002
89,Black/African American/Negro,RACED,1900,1900 1% sample with oversamples,8156.4900000000025
90,American Indian/Alaska Native,RACED,1900,1900 1% sample with oversamples,1400.0
91,White,RACED,1910,1910 1%,778748.0
92,Black/African American/Negro,RACED,1910,1910 1%,8421.0
93,Japanese,RACED,1910,1910 1%,800.0
94,Mulatto,RACED,1910,1910 1%,3104.0
95,American Indian/Alaska Native,RACED,1910,1910 1%,1505.0
96,White,RACED,1910,1910 1.4% sample with oversamples,777495.4199999352
97,Black/African American/Negro,RACED,1910,1910 1.4% sample with oversamples,7888.100000000003
98,Japanese,RACED,1910,1910 1.4% sample with oversamples,788.8100000000001
99,Mulatto,RACED,1910,1910 1.4% sample with oversamples,3011.820000000001
100,American Indian/Alaska Native,RACED,1910,1910 1.4% sample with oversamples,1491.9000000000067
101,"Other race, n.e.c.",RACED,1910,1910 1.4% sample with oversamples,1219.0700000000002
102,White,RACED,1920,1920 1%,921282.0499999506
103,Black/African American/Negro,RACED,1920,1920 1%,10179.000000000005
104,Japanese,RACED,1920,1920 1%,3219.009999999998
105,Filipino,RACED,1920,1920 1%,214.12
106,Mulatto,RACED,1920,1920 1%,2649.5899999999983
107,American Indian/Alaska Native,RACED,1920,1920 1%,1409.17
108,Chinese,RACED,1920,1920 1%,304.41999999999996
109,White,RACED,1930,1930 1%,971340.8999998365
110,Japanese,RACED,1930,1930 1%,2826.5999999999995
111,Mexican (1930),RACED,1930,1930 1%,63901.34999999927
112,Asian Indian (Hindu 1920_1940),RACED,1930,1930 1%,100.95
113,Filipino,RACED,1930,1930 1%,201.9
114,Black/African American/Negro,RACED,1930,1930 1%,10599.750000000007
115,Chinese,RACED,1930,1930 1%,1312.3500000000004
116,American Indian/Alaska Native,RACED,1930,1930 1%,100.95
117,White,RACED,1930,1930 5%,960880.2899999046
118,Japanese,RACED,1930,1930 5%,3130.959999999999
119,Mexican (1930),RACED,1930,1930 5%,59589.690000000315
120,Black/African American/Negro,RACED,1930,1930 5%,10389.369999999999
121,Asian Indian (Hindu 1920_1940),RACED,1930,1930 5%,19.33
122,Korean,RACED,1930,1930 5%,39.98
123,Filipino,RACED,1930,1930 5%,140.35
124,American Indian/Alaska Native,RACED,1930,1930 5%,677.3700000000001
125,Chinese,RACED,1930,1930 5%,340.9199999999999
126,White,RACED,1940,1940 1%,1050210.0
127,Black/African American/Negro,RACED,1940,1940 1%,10204.0
128,Filipino,RACED,1940,1940 1%,200.0
129,Japanese,RACED,1940,1940 1%,3504.0
130,Korean,RACED,1940,1940 1%,400.0
131,American Indian/Alaska Native,RACED,1940,1940 1%,700.0
132,Chinese,RACED,1940,1940 1%,200.0
133,Asian Indian (Hindu 1920_1940),RACED,1940,1940 1%,400.0
134,White,RACESING,1870,1870 1%,38687.19000000012
135,Black,RACESING,1870,1870 1%,200.3
136,American Indian/Alaska Native,RACESING,1870,1870 1%,99.49
137,White,RACESING,1870,1870 1% sample with black oversample,38692.540000000045
138,Black,RACESING,1870,1870 1% sample with black oversample,199.78
139,American Indian/Alaska Native,RACESING,1870,1870 1% sample with black oversample,99.49
140,White,RACESING,1880,1880 1%,182105.55000000083
141,Black,RACESING,1880,1880 1%,11506.519999999988
142,Asian and/or Pacific Islander,RACESING,1880,1880 1%,634.5699999999999
143,American Indian/Alaska Native,RACESING,1880,1880 1%,72.25
144,White,RACESING,1880,1880 10%,191014.88999998645
145,Asian and/or Pacific Islander,RACESING,1880,1880 10%,304.31999999999977
146,Black,RACESING,1880,1880 10%,3289.9600000000164
147,American Indian/Alaska Native,RACESING,1880,1880 10%,101.15000000000002
148,White,RACESING,1900,1900 5%,528847.6400000663
149,Black,RACESING,1900,1900 5%,8330.219999999988
150,Asian and/or Pacific Islander,RACESING,1900,1900 5%,940.8200000000002
151,American Indian/Alaska Native,RACESING,1900,1900 5%,38.019999999999996
152,White,RACESING,1900,1900 1%,531949.0
153,Asian and/or Pacific Islander,RACESING,1900,1900 1%,1305.0
154,Black,RACESING,1900,1900 1%,8213.0
155,American Indian/Alaska Native,RACESING,1900,1900 1%,1202.0
156,White,RACESING,1900,1900 1% sample with oversamples,526669.2399999842
157,Asian and/or Pacific Islander,RACESING,1900,1900 1% sample with oversamples,1239.0800000000002
158,Black,RACESING,1900,1900 1% sample with oversamples,8156.4900000000025
159,American Indian/Alaska Native,RACESING,1900,1900 1% sample with oversamples,1400.0
160,White,RACESING,1910,1910 1%,778748.0
161,Black,RACESING,1910,1910 1%,11525.0
162,Asian and/or Pacific Islander,RACESING,1910,1910 1%,800.0
163,American Indian/Alaska Native,RACESING,1910,1910 1%,1505.0
164,White,RACESING,1910,1910 1.4% sample with oversamples,777495.4199999352
165,Black,RACESING,1910,1910 1.4% sample with oversamples,10899.919999999971
166,Asian and/or Pacific Islander,RACESING,1910,1910 1.4% sample with oversamples,788.8100000000001
167,American Indian/Alaska Native,RACESING,1910,1910 1.4% sample with oversamples,1491.9000000000067
168,"Other race, non-Hispanic",RACESING,1910,1910 1.4% sample with oversamples,1219.0700000000002
169,White,RACESING,1920,1920 1%,921282.0499999506
170,Black,RACESING,1920,1920 1%,12828.590000000004
171,Asian and/or Pacific Islander,RACESING,1920,1920 1%,3737.5499999999975
172,American Indian/Alaska Native,RACESING,1920,1920 1%,1409.17
173,White,RACESING,1930,1930 1%,1035242.249999807
174,Asian and/or Pacific Islander,RACESING,1930,1930 1%,4441.7999999999965
175,Black,RACESING,1930,1930 1%,10599.750000000007
176,American Indian/Alaska Native,RACESING,1930,1930 1%,100.95
177,White,RACESING,1930,1930 5%,1020469.9799999086
178,Asian and/or Pacific Islander,RACESING,1930,1930 5%,3671.5399999999972
179,Black,RACESING,1930,1930 5%,10389.369999999999
180,American Indian/Alaska Native,RACESING,1930,1930 5%,677.3700000000001
181,White,RACESING,1940,1940 1%,1050210.0
182,Black,RACESING,1940,1940 1%,10204.0
183,Asian and/or Pacific Islander,RACESING,1940,1940 1%,4704.0
184,American Indian/Alaska Native,RACESING,1940,1940 1%,700.0
185,White,RACESINGD,1870,1870 1%,38687.19000000012
186,Mulatto,RACESINGD,1870,1870 1%,200.3
187,AI/AN (American Indian/Alaskan Native),RACESINGD,1870,1870 1%,99.49
188,White,RACESINGD,1870,1870 1% sample with black oversample,38692.540000000045
189,Black,RACESINGD,1870,1870 1% sample with black oversample,95.86
190,Mulatto,RACESINGD,1870,1870 1% sample with black oversample,103.92
191,AI/AN (American Indian/Alaskan Native),RACESINGD,1870,1870 1% sample with black oversample,99.49
192,White,RACESINGD,1880,1880 1%,182105.55000000083
193,Black,RACESINGD,1880,1880 1%,2562.029999999999
194,Chinese,RACESINGD,1880,1880 1%,634.5699999999999
195,Mulatto,RACESINGD,1880,1880 1%,8944.489999999989
196,AI/AN (American Indian/Alaskan Native),RACESINGD,1880,1880 1%,72.25
197,White,RACESINGD,1880,1880 10%,191014.88999998645
198,Chinese,RACESINGD,1880,1880 10%,304.31999999999977
199,Black,RACESINGD,1880,1880 10%,1600.590000000007
200,Mulatto,RACESINGD,1880,1880 10%,1689.3700000000051
201,AI/AN (American Indian/Alaskan Native),RACESINGD,1880,1880 10%,101.15000000000002
202,White,RACESINGD,1900,1900 5%,526958.3100000662
203,Black,RACESINGD,1900,1900 5%,8330.219999999988
204,Chinese,RACESINGD,1900,1900 5%,921.2600000000002
205,Japanese,RACESINGD,1900,1900 5%,19.56
206,AI/AN (American Indian/Alaskan Native),RACESINGD,1900,1900 5%,38.019999999999996
207,"""Other race"", Hispanic",RACESINGD,1900,1900 5%,1889.3299999999963
208,White,RACESINGD,1900,1900 1%,531949.0
209,Chinese,RACESINGD,1900,1900 1%,1305.0
210,Black,RACESINGD,1900,1900 1%,8213.0
211,AI/AN (American Indian/Alaskan Native),RACESINGD,1900,1900 1%,1202.0
212,White,RACESINGD,1900,1900 1% sample with oversamples,526669.2399999842
213,Chinese,RACESINGD,1900,1900 1% sample with oversamples,1239.0800000000002
214,Black,RACESINGD,1900,1900 1% sample with oversamples,8156.4900000000025
215,AI/AN (American Indian/Alaskan Native),RACESINGD,1900,1900 1% sample with oversamples,1400.0
216,White,RACESINGD,1910,1910 1%,778748.0
217,Black,RACESINGD,1910,1910 1%,8421.0
218,Japanese,RACESINGD,1910,1910 1%,800.0
219,Mulatto,RACESINGD,1910,1910 1%,3104.0
220,AI/AN (American Indian/Alaskan Native),RACESINGD,1910,1910 1%,1505.0
221,White,RACESINGD,1910,1910 1.4% sample with oversamples,777495.4199999352
222,Black,RACESINGD,1910,1910 1.4% sample with oversamples,7888.100000000003
223,Japanese,RACESINGD,1910,1910 1.4% sample with oversamples,788.8100000000001
224,Mulatto,RACESINGD,1910,1910 1.4% sample with oversamples,3011.820000000001
225,AI/AN (American Indian/Alaskan Native),RACESINGD,1910,1910 1.4% sample with oversamples,1491.9000000000067
226,"Other race, non-Hispanic",RACESINGD,1910,1910 1.4% sample with oversamples,1219.0700000000002
227,White,RACESINGD,1920,1920 1%,921282.0499999506
228,Black,RACESINGD,1920,1920 1%,10179.000000000005
229,Japanese,RACESINGD,1920,1920 1%,3219.009999999998
230,Filipino,RACESINGD,1920,1920 1%,214.12
231,Mulatto,RACESINGD,1920,1920 1%,2649.5899999999983
232,AI/AN (American Indian/Alaskan Native),RACESINGD,1920,1920 1%,1409.17
233,Chinese,RACESINGD,1920,1920 1%,304.41999999999996
234,White,RACESINGD,1930,1930 1%,971340.8999998365
235,Japanese,RACESINGD,1930,1930 1%,2826.5999999999995
236,"""Other race"", Hispanic",RACESINGD,1930,1930 1%,63901.34999999927
237,Asian Indian,RACESINGD,1930,1930 1%,100.95
238,Filipino,RACESINGD,1930,1930 1%,201.9
239,Black,RACESINGD,1930,1930 1%,10599.750000000007
240,Chinese,RACESINGD,1930,1930 1%,1312.3500000000004
241,AI/AN (American Indian/Alaskan Native),RACESINGD,1930,1930 1%,100.95
242,White,RACESINGD,1930,1930 5%,960880.2899999046
243,Japanese,RACESINGD,1930,1930 5%,3130.959999999999
244,"""Other race"", Hispanic",RACESINGD,1930,1930 5%,59589.690000000315
245,Black,RACESINGD,1930,1930 5%,10389.369999999999
246,Asian Indian,RACESINGD,1930,1930 5%,19.33
247,Korean,RACESINGD,1930,1930 5%,39.98
248,Filipino,RACESINGD,1930,1930 5%,140.35
249,AI/AN (American Indian/Alaskan Native),RACESINGD,1930,1930 5%,677.3700000000001
250,Chinese,RACESINGD,1930,1930 5%,340.9199999999999
251,White,RACESINGD,1940,1940 1%,1050210.0
252,Black,RACESINGD,1940,1940 1%,10204.0
253,Filipino,RACESINGD,1940,1940 1%,200.0
254,Japanese,RACESINGD,1940,1940 1%,3504.0
255,Korean,RACESINGD,1940,1940 1%,400.0
256,AI/AN (American Indian/Alaskan Native),RACESINGD,1940,1940 1%,700.0
257,Chinese,RACESINGD,1940,1940 1%,200.0
258,Asian Indian,RACESINGD,1940,1940 1%,400.0
259,Missouri,BPL,1870,1870 1%,1528.1399999999999
260,New York,BPL,1870,1870 1%,3188.3500000000004
261,Indiana,BPL,1870,1870 1%,877.2
262,Pennsylvania,BPL,1870,1870 1%,1021.0699999999999
263,Germany,BPL,1870,1870 1%,1026.8799999999999
264,Ireland,BPL,1870,1870 1%,1940.3400000000001
265,Illinois,BPL,1870,1870 1%,1513.02
266,Massachusetts,BPL,1870,1870 1%,1336.2099999999998
267,Maine,BPL,1870,1870 1%,474.11
268,Austria,BPL,1870,1870 1%,91.27
269,Colorado,BPL,1870,1870 1%,5188.879999999998
270,New Mexico,BPL,1870,1870 1%,9337.989999999985
271,Kansas,BPL,1870,1870 1%,273.81
272,England,BPL,1870,1870 1%,2506.2999999999997
273,Ohio,BPL,1870,1870 1%,1809.1599999999994
274,Nebraska,BPL,1870,1870 1%,182.54
275,New Jersey,BPL,1870,1870 1%,382.84000000000003
276,Maryland,BPL,1870,1870 1%,91.27
277,Connecticut,BPL,1870,1870 1%,91.27
278,Tennessee,BPL,1870,1870 1%,91.27
279,Virginia,BPL,1870,1870 1%,1111.6999999999998
280,Kentucky,BPL,1870,1870 1%,951.39
281,Wisconsin,BPL,1870,1870 1%,431.04999999999995
282,Louisiana,BPL,1870,1870 1%,100.15
283,Canada,BPL,1870,1870 1%,422.16999999999996
284,Utah,BPL,1870,1870 1%,522.4
285,Iowa,BPL,1870,1870 1%,1375.6200000000001
286,Michigan,BPL,1870,1870 1%,400.6
287,Mexico,BPL,1870,1870 1%,99.49
288,Scotland,BPL,1870,1870 1%,91.27
289,North Carolina,BPL,1870,1870 1%,130.6
290,Texas,BPL,1870,1870 1%,99.49
291,Mississippi,BPL,1870,1870 1%,99.49
292,Other USSR/Russia,BPL,1870,1870 1%,99.49
293,New Hampshire,BPL,1870,1870 1%,100.15
294,Missouri,BPL,1870,1870 1% sample with black oversample,1503.8499999999997
295,New York,BPL,1870,1870 1% sample with black oversample,3231.1499999999987
296,Colorado,BPL,1870,1870 1% sample with black oversample,5220.6399999999985
297,Pennsylvania,BPL,1870,1870 1% sample with black oversample,1037.5
298,Delaware,BPL,1870,1870 1% sample with black oversample,87.8
299,Ohio,BPL,1870,1870 1% sample with black oversample,1846.6999999999994
300,Indiana,BPL,1870,1870 1% sample with black oversample,856.38
301,Germany,BPL,1870,1870 1% sample with black oversample,1028.04
302,Ireland,BPL,1870,1870 1% sample with black oversample,1945.5500000000002
303,Illinois,BPL,1870,1870 1% sample with black oversample,1489.31
304,Massachusetts,BPL,1870,1870 1% sample with black oversample,1355.8799999999999
305,Maine,BPL,1870,1870 1% sample with black oversample,471.2199999999999
306,Austria,BPL,1870,1870 1% sample with black oversample,87.8
307,New Mexico,BPL,1870,1870 1% sample with black oversample,9334.519999999986
308,Kansas,BPL,1870,1870 1% sample with black oversample,263.4
309,England,BPL,1870,1870 1% sample with black oversample,2516.7200000000003
310,Nebraska,BPL,1870,1870 1% sample with black oversample,175.6
311,New Jersey,BPL,1870,1870 1% sample with black oversample,383.41999999999996
312,Maryland,BPL,1870,1870 1% sample with black oversample,87.8
313,Connecticut,BPL,1870,1870 1% sample with black oversample,87.8
314,Tennessee,BPL,1870,1870 1% sample with black oversample,87.8
315,Virginia,BPL,1870,1870 1% sample with black oversample,1015.8999999999999
316,Kentucky,BPL,1870,1870 1% sample with black oversample,855.3
317,Wisconsin,BPL,1870,1870 1% sample with black oversample,442.3299999999999
318,Louisiana,BPL,1870,1870 1% sample with black oversample,51.96
319,Canada,BPL,1870,1870 1% sample with black oversample,426.22
320,Utah,BPL,1870,1870 1% sample with black oversample,522.4
321,Iowa,BPL,1870,1870 1% sample with black oversample,1390.95
322,Michigan,BPL,1870,1870 1% sample with black oversample,415.64
323,Mexico,BPL,1870,1870 1% sample with black oversample,99.49
324,Scotland,BPL,1870,1870 1% sample with black oversample,87.8
325,North Carolina,BPL,1870,1870 1% sample with black oversample,182.56
326,Texas,BPL,1870,1870 1% sample with black oversample,99.49
327,Mississippi,BPL,1870,1870 1% sample with black oversample,99.49
328,Other USSR/Russia,BPL,1870,1870 1% sample with black oversample,99.49
329,New Hampshire,BPL,1870,1870 1% sample with black oversample,103.91
330,Canada,BPL,1880,1880 1%,4420.120000000001
331,Ireland,BPL,1880,1880 1%,8060.360000000001
332,Illinois,BPL,1880,1880 1%,12083.129999999976
333,Georgia,BPL,1880,1880 1%,900.58
334,Ohio,BPL,1880,1880 1%,13791.049999999983
335,Virginia,BPL,1880,1880 1%,2101.7999999999993
336,Colorado,BPL,1880,1880 1%,27739.350000000082
337,Germany,BPL,1880,1880 1%,5573.339999999999
338,Wisconsin,BPL,1880,1880 1%,4038.5000000000005
339,Minnesota,BPL,1880,1880 1%,467.98
340,Massachusetts,BPL,1880,1880 1%,3753.690000000001
341,Maine,BPL,1880,1880 1%,3049.0699999999993
342,Pennsylvania,BPL,1880,1880 1%,12268.029999999986
343,California,BPL,1880,1880 1%,975.7899999999998
344,Sweden,BPL,1880,1880 1%,1128.5399999999997
345,Delaware,BPL,1880,1880 1%,154.57999999999998
346,South Carolina,BPL,1880,1880 1%,164.66
347,Vermont,BPL,1880,1880 1%,2306.8899999999994
348,New Hampshire,BPL,1880,1880 1%,803.99
349,Missouri,BPL,1880,1880 1%,14744.819999999972
350,England,BPL,1880,1880 1%,6692.810000000007
351,Norway,BPL,1880,1880 1%,183.89
352,Iowa,BPL,1880,1880 1%,7854.280000000002
353,New York,BPL,1880,1880 1%,14044.77999999997
354,Maryland,BPL,1880,1880 1%,1190.3000000000002
355,Montana,BPL,1880,1880 1%,82.33
356,Nebraska,BPL,1880,1880 1%,1819.5899999999992
357,Denmark,BPL,1880,1880 1%,570.9000000000001
358,Scotland,BPL,1880,1880 1%,1413.5
359,Indiana,BPL,1880,1880 1%,5843.260000000004
360,France,BPL,1880,1880 1%,601.78
361,AFRICA,BPL,1880,1880 1%,161.69
362,New Jersey,BPL,1880,1880 1%,864.5800000000002
363,Arkansas,BPL,1880,1880 1%,691.8699999999999
364,Wyoming,BPL,1880,1880 1%,82.33
365,Kansas,BPL,1880,1880 1%,3650.71
366,District of Columbia,BPL,1880,1880 1%,184.39999999999998
367,Mexico,BPL,1880,1880 1%,184.39999999999998
368,Michigan,BPL,1880,1880 1%,2726.96
369,China,BPL,1880,1880 1%,634.5699999999999
370,Louisiana,BPL,1880,1880 1%,386.56
371,Connecticut,BPL,1880,1880 1%,154.57999999999998
372,Kentucky,BPL,1880,1880 1%,5338.85
373,Tennessee,BPL,1880,1880 1%,2554.41
374,"United States, ns",BPL,1880,1880 1%,161.69
375,Poland,BPL,1880,1880 1%,439.58000000000004
376,Luxembourg,BPL,1880,1880 1%,82.33
377,Australia and New Zealand,BPL,1880,1880 1%,486.77000000000004
378,Wales,BPL,1880,1880 1%,1812.6199999999994
379,Atlantic Islands,BPL,1880,1880 1%,101.11
380,Italy,BPL,1880,1880 1%,710.0200000000001
381,Texas,BPL,1880,1880 1%,811.64
382,New Mexico,BPL,1880,1880 1%,10064.719999999985
383,Rhode Island,BPL,1880,1880 1%,355.24
384,Utah,BPL,1880,1880 1%,144.5
385,North Carolina,BPL,1880,1880 1%,377.5
386,Alabama,BPL,1880,1880 1%,285.51
387,Other USSR/Russia,BPL,1880,1880 1%,79.36
388,Switzerland,BPL,1880,1880 1%,284.55
389,Florida,BPL,1880,1880 1%,101.11
390,Spain,BPL,1880,1880 1%,101.11
391,West Virginia,BPL,1880,1880 1%,183.44
392,Mississippi,BPL,1880,1880 1%,183.44
393,Cuba,BPL,1880,1880 1%,101.56
394,Belgium,BPL,1880,1880 1%,202.67000000000002
395,Greece,BPL,1880,1880 1%,101.56
396,South Dakota,BPL,1880,1880 1%,467.5
397,Nevada,BPL,1880,1880 1%,239.76
398,Ireland,BPL,1880,1880 10%,8339.550000000043
399,Iowa,BPL,1880,1880 10%,7120.320000000021
400,Colorado,BPL,1880,1880 10%,25987.97999999956
401,Illinois,BPL,1880,1880 10%,12896.990000000158
402,New York,BPL,1880,1880 10%,14993.990000000187
403,Michigan,BPL,1880,1880 10%,4083.6899999999855
404,Pennsylvania,BPL,1880,1880 10%,11645.680000000073
405,Ohio,BPL,1880,1880 10%,11988.510000000095
406,Wisconsin,BPL,1880,1880 10%,3227.379999999991
407,Missouri,BPL,1880,1880 10%,12889.590000000127
408,New Hampshire,BPL,1880,1880 10%,614.6999999999996
409,Canada,BPL,1880,1880 10%,5321.450000000022
410,Massachusetts,BPL,1880,1880 10%,3714.1399999999926
411,Germany,BPL,1880,1880 10%,7437.490000000036
412,France,BPL,1880,1880 10%,901.0700000000002
413,Austria,BPL,1880,1880 10%,508.16999999999973
414,Kentucky,BPL,1880,1880 10%,3653.889999999992
415,England,BPL,1880,1880 10%,8727.710000000085
416,Indiana,BPL,1880,1880 10%,5582.400000000018
417,Scotland,BPL,1880,1880 10%,1535.9399999999982
418,Connecticut,BPL,1880,1880 10%,1335.9100000000005
419,Maryland,BPL,1880,1880 10%,1027.3500000000004
420,China,BPL,1880,1880 10%,294.4499999999998
421,Vermont,BPL,1880,1880 10%,1623.2200000000005
422,Switzerland,BPL,1880,1880 10%,710.4199999999998
423,Kansas,BPL,1880,1880 10%,3630.519999999995
424,Other USSR/Russia,BPL,1880,1880 10%,523.9099999999996
425,Italy,BPL,1880,1880 10%,431.11999999999983
426,Tennessee,BPL,1880,1880 10%,2151.3499999999967
427,Virginia,BPL,1880,1880 10%,2651.329999999997
428,Washington,BPL,1880,1880 10%,110.68
429,Wyoming,BPL,1880,1880 10%,230.04000000000005
430,Maine,BPL,1880,1880 10%,2497.479999999996
431,Sweden,BPL,1880,1880 10%,2259.689999999995
432,South Carolina,BPL,1880,1880 10%,275.7900000000001
433,Wales,BPL,1880,1880 10%,1335.72
434,California,BPL,1880,1880 10%,490.74999999999983
435,Georgia,BPL,1880,1880 10%,1093.0300000000009
436,New Jersey,BPL,1880,1880 10%,1513.269999999998
437,District of Columbia,BPL,1880,1880 10%,283.15000000000003
438,Netherlands,BPL,1880,1880 10%,103.76999999999998
439,Czechoslovakia,BPL,1880,1880 10%,156.78000000000003
440,Belgium,BPL,1880,1880 10%,61.62
441,Denmark,BPL,1880,1880 10%,511.2499999999997
442,Rhode Island,BPL,1880,1880 10%,477.60999999999996
443,"United States, ns",BPL,1880,1880 10%,59.91
444,Alabama,BPL,1880,1880 10%,548.3899999999996
445,Poland,BPL,1880,1880 10%,165.81000000000003
446,Texas,BPL,1880,1880 10%,1193.3399999999992
447,Arkansas,BPL,1880,1880 10%,627.4599999999997
448,Florida,BPL,1880,1880 10%,49.89
449,Nebraska,BPL,1880,1880 10%,739.5699999999998
450,Mexico,BPL,1880,1880 10%,147.13
451,Mississippi,BPL,1880,1880 10%,489.1999999999997
452,AFRICA,BPL,1880,1880 10%,14.440000000000001
453,West Indies,BPL,1880,1880 10%,39.91
454,Norway,BPL,1880,1880 10%,463.7499999999999
455,Cuba,BPL,1880,1880 10%,20.33
456,Minnesota,BPL,1880,1880 10%,567.3299999999997
457,Utah,BPL,1880,1880 10%,344.28000000000003
458,Abroad (unknown) or at sea,BPL,1880,1880 10%,4.98
459,Louisiana,BPL,1880,1880 10%,434.1799999999999
460,Japan,BPL,1880,1880 10%,4.98
461,Delaware,BPL,1880,1880 10%,208.17
462,Montana,BPL,1880,1880 10%,40.16
463,West Virginia,BPL,1880,1880 10%,442.58999999999975
