,Location,Year,Prisoners
86,Arkansas,1882,1
87,Arkansas,1884,4
88,Arkansas,1886,2
89,Arkansas,1888,3
90,Arkansas,1890,1
91,Arkansas,1892,1
92,Arkansas,1896,1
93,Arkansas,1900,2
94,Arkansas,1902,2
95,Arkansas,1906,2
96,Arkansas,1908,4
97,Arkansas,1912,5
98,Arkansas,1914,9
99,Arkansas,1916,4
100,Arkansas,1918,7
101,Arkansas,1920,5
102,Arkansas,1922,10
103,Arkansas,1924,13
104,Arkansas,1926,11
105,Arkansas,1928,9
106,Arkansas,1930,15
107,Arkansas,1932,21
108,Arkansas,1934,13
109,Arkansas,1936,19
110,Arkansas,1938,15
111,Arkansas,1940,24
112,California,1878,1
113,California,1880,1
114,California,1882,5
115,California,1884,2
116,California,1886,3
117,California,1888,5
118,California,1890,3
119,California,1892,12
120,California,1896,9
121,California,1900,13
122,California,1902,9
123,California,1906,4
124,California,1908,11
125,California,1912,14
126,California,1914,9
127,California,1916,14
128,California,1918,5
129,California,1920,6
130,California,1922,11
131,California,1924,8
132,California,1926,9
133,California,1928,17
134,California,1930,15
135,California,1932,10
136,California,1934,13
137,California,1936,20
138,California,1938,15
139,California,1940,6
140,Colorado,1878,0
141,Colorado,1880,0
142,Colorado,1882,3
143,Colorado,1884,8
144,Colorado,1886,2
145,Colorado,1888,7
146,Colorado,1890,13
147,Colorado,1892,21
148,Colorado,1896,31
149,Colorado,1900,15
150,Colorado,1902,40
151,Colorado,1906,30
152,Colorado,1908,50
153,Colorado,1912,84
154,Colorado,1914,64
155,Colorado,1916,95
156,Colorado,1918,60
157,Colorado,1920,67
158,Colorado,1922,83
159,Colorado,1924,102
160,Colorado,1926,144
161,Colorado,1928,170
162,Colorado,1930,187
163,Colorado,1932,248
164,Colorado,1934,276
165,Colorado,1936,291
166,Colorado,1938,293
167,Colorado,1940,267
168,Connecticut,1878,0
169,Connecticut,1880,1
170,Connecticut,1882,3
171,Connecticut,1884,1
172,Connecticut,1886,3
173,Connecticut,1888,4
174,Connecticut,1890,6
175,Connecticut,1892,4
176,Connecticut,1896,2
177,Connecticut,1900,6
178,Connecticut,1902,3
179,Connecticut,1906,2
180,Connecticut,1908,5
181,Connecticut,1912,2
182,Connecticut,1914,4
183,Connecticut,1916,2
184,Connecticut,1918,2
185,Connecticut,1920,1
186,Connecticut,1922,1
187,Connecticut,1924,1
188,Connecticut,1926,2
189,Connecticut,1928,3
190,Connecticut,1930,2
191,Connecticut,1932,5
192,Connecticut,1934,2
193,Connecticut,1936,1
194,Connecticut,1938,4
195,Connecticut,1940,1
196,D.C.,1878,6
197,D.C.,1880,3
198,D.C.,1882,2
199,D.C.,1884,1
200,D.C.,1886,2
201,D.C.,1888,3
202,D.C.,1890,1
203,D.C.,1892,2
204,D.C.,1896,0
205,D.C.,1900,2
206,D.C.,1902,1
207,D.C.,1906,0
208,D.C.,1908,4
209,D.C.,1912,5
210,D.C.,1914,2
211,D.C.,1916,2
212,D.C.,1918,1
213,D.C.,1920,2
214,D.C.,1922,1
215,D.C.,1924,1
216,D.C.,1926,2
217,D.C.,1928,0
218,D.C.,1930,1
219,D.C.,1932,0
220,D.C.,1934,2
221,D.C.,1936,1
222,D.C.,1938,0
223,D.C.,1940,0
224,Delaware,1878,0
225,Delaware,1880,0
226,Delaware,1882,0
227,Delaware,1884,0
228,Delaware,1886,0
229,Delaware,1888,1
230,Delaware,1890,1
231,Delaware,1892,0
232,Delaware,1896,1
233,Delaware,1900,1
234,Delaware,1902,0
235,Delaware,1906,0
236,Delaware,1908,0
237,Delaware,1912,0
238,Delaware,1914,1
239,Delaware,1916,0
240,Delaware,1918,0
241,Delaware,1920,0
242,Delaware,1922,0
243,Delaware,1924,0
244,Delaware,1926,1
245,Delaware,1928,0
246,Delaware,1930,0
247,Delaware,1932,1
248,Delaware,1934,1
249,Delaware,1936,0
250,Delaware,1938,1
251,Delaware,1940,0
252,Florida,1878,0
253,Florida,1880,0
254,Florida,1882,2
255,Florida,1884,0
256,Florida,1886,0
257,Florida,1888,0
258,Florida,1890,0
259,Florida,1892,0
260,Florida,1896,0
261,Florida,1900,0
262,Florida,1902,1
263,Florida,1906,1
264,Florida,1908,0
265,Florida,1912,1
266,Florida,1914,1
267,Florida,1916,0
268,Florida,1918,0
269,Florida,1920,0
270,Florida,1922,1
271,Florida,1924,0
272,Florida,1926,1
273,Florida,1928,0
274,Florida,1930,4
275,Florida,1932,1
276,Florida,1934,3
277,Florida,1936,2
278,Florida,1938,6
279,Florida,1940,2
280,Georgia,1878,1
281,Georgia,1880,1
282,Georgia,1882,0
283,Georgia,1884,1
284,Georgia,1886,1
285,Georgia,1888,0
286,Georgia,1890,0
287,Georgia,1892,0
288,Georgia,1896,0
289,Georgia,1900,6
290,Georgia,1902,5
291,Georgia,1906,4
292,Georgia,1908,7
293,Georgia,1912,7
294,Georgia,1914,8
295,Georgia,1916,5
296,Georgia,1918,7
297,Georgia,1920,6
298,Georgia,1922,4
299,Georgia,1924,5
300,Georgia,1926,6
301,Georgia,1928,7
302,Georgia,1930,11
303,Georgia,1932,4
304,Georgia,1934,9
305,Georgia,1936,5
306,Georgia,1938,5
307,Georgia,1940,3
308,Hawaii,1878,0
309,Hawaii,1880,0
310,Hawaii,1882,0
311,Hawaii,1884,0
312,Hawaii,1886,0
313,Hawaii,1888,0
314,Hawaii,1890,0
315,Hawaii,1892,0
316,Hawaii,1896,0
317,Hawaii,1900,0
318,Hawaii,1902,0
319,Hawaii,1906,0
320,Hawaii,1908,0
321,Hawaii,1912,1
322,Hawaii,1914,1
323,Hawaii,1916,0
324,Hawaii,1918,0
325,Hawaii,1920,0
326,Hawaii,1922,0
327,Hawaii,1924,1
328,Hawaii,1926,0
329,Hawaii,1928,0
330,Hawaii,1930,0
331,Hawaii,1932,1
332,Hawaii,1934,1
333,Hawaii,1936,0
334,Hawaii,1938,0
335,Hawaii,1940,0
336,Idaho,1878,0
337,Idaho,1880,0
338,Idaho,1882,0
339,Idaho,1884,0
340,Idaho,1886,0
341,Idaho,1888,1
342,Idaho,1890,0
343,Idaho,1892,0
344,Idaho,1896,0
345,Idaho,1900,0
346,Idaho,1902,0
347,Idaho,1906,1
348,Idaho,1908,0
349,Idaho,1912,0
350,Idaho,1914,0
351,Idaho,1916,1
352,Idaho,1918,2
353,Idaho,1920,0
354,Idaho,1922,1
355,Idaho,1924,0
356,Idaho,1926,1
357,Idaho,1928,2
358,Idaho,1930,3
359,Idaho,1932,1
360,Idaho,1934,3
361,Idaho,1936,3
362,Idaho,1938,7
363,Idaho,1940,6
364,Illinois,1878,3
365,Illinois,1880,9
366,Illinois,1882,20
367,Illinois,1884,26
368,Illinois,1886,15
369,Illinois,1888,27
370,Illinois,1890,45
371,Illinois,1892,61
372,Illinois,1896,35
373,Illinois,1900,35
374,Illinois,1902,49
375,Illinois,1906,42
376,Illinois,1908,43
377,Illinois,1912,46
378,Illinois,1914,34
379,Illinois,1916,53
380,Illinois,1918,24
381,Illinois,1920,30
382,Illinois,1922,51
383,Illinois,1924,36
384,Illinois,1926,35
385,Illinois,1928,60
386,Illinois,1930,60
387,Illinois,1932,62
388,Illinois,1934,58
389,Illinois,1936,49
390,Illinois,1938,51
391,Illinois,1940,49
392,Indiana,1878,4
393,Indiana,1880,1
394,Indiana,1882,9
395,Indiana,1884,6
396,Indiana,1886,9
397,Indiana,1888,16
398,Indiana,1890,14
399,Indiana,1892,15
400,Indiana,1896,10
401,Indiana,1900,9
402,Indiana,1902,15
403,Indiana,1906,13
404,Indiana,1908,7
405,Indiana,1912,11
406,Indiana,1914,18
407,Indiana,1916,16
408,Indiana,1918,10
409,Indiana,1920,12
410,Indiana,1922,6
411,Indiana,1924,15
412,Indiana,1926,17
413,Indiana,1928,23
414,Indiana,1930,14
415,Indiana,1932,22
416,Indiana,1934,24
417,Indiana,1936,16
418,Indiana,1938,23
419,Indiana,1940,17
420,Iowa,1878,7
421,Iowa,1880,8
422,Iowa,1882,14
423,Iowa,1884,10
424,Iowa,1886,6
425,Iowa,1888,5
426,Iowa,1890,18
427,Iowa,1892,34
428,Iowa,1896,12
429,Iowa,1900,22
430,Iowa,1902,29
431,Iowa,1906,21
432,Iowa,1908,22
433,Iowa,1912,25
434,Iowa,1914,29
435,Iowa,1916,24
436,Iowa,1918,31
437,Iowa,1920,24
438,Iowa,1922,34
439,Iowa,1924,22
440,Iowa,1926,40
441,Iowa,1928,37
442,Iowa,1930,46
443,Iowa,1932,40
444,Iowa,1934,38
445,Iowa,1936,40
446,Iowa,1938,40
447,Iowa,1940,25
448,Kansas,1878,1
449,Kansas,1880,2
450,Kansas,1882,4
451,Kansas,1884,6
452,Kansas,1886,1
453,Kansas,1888,7
454,Kansas,1890,7
455,Kansas,1892,13
456,Kansas,1896,11
457,Kansas,1900,11
458,Kansas,1902,25
459,Kansas,1906,25
460,Kansas,1908,25
461,Kansas,1912,27
462,Kansas,1914,41
463,Kansas,1916,35
464,Kansas,1918,25
465,Kansas,1920,38
466,Kansas,1922,39
467,Kansas,1924,33
468,Kansas,1926,68
469,Kansas,1928,70
470,Kansas,1930,61
471,Kansas,1932,102
472,Kansas,1934,64
473,Kansas,1936,62
474,Kansas,1938,102
475,Kansas,1940,108
476,Kentucky,1878,2
477,Kentucky,1880,8
478,Kentucky,1882,9
479,Kentucky,1884,13
480,Kentucky,1886,13
481,Kentucky,1888,12
482,Kentucky,1890,14
483,Kentucky,1892,14
484,Kentucky,1896,15
485,Kentucky,1900,11
486,Kentucky,1902,24
487,Kentucky,1906,19
488,Kentucky,1908,21
489,Kentucky,1912,12
490,Kentucky,1914,20
491,Kentucky,1916,17
492,Kentucky,1918,7
493,Kentucky,1920,13
494,Kentucky,1922,16
495,Kentucky,1924,16
496,Kentucky,1926,22
497,Kentucky,1928,19
498,Kentucky,1930,14
499,Kentucky,1932,24
500,Kentucky,1934,16
501,Kentucky,1936,28
502,Kentucky,1938,22
503,Kentucky,1940,16
504,Louisiana,1878,2
505,Louisiana,1880,3
506,Louisiana,1882,1
507,Louisiana,1884,2
508,Louisiana,1886,2
509,Louisiana,1888,5
510,Louisiana,1890,2
511,Louisiana,1892,8
512,Louisiana,1896,7
513,Louisiana,1900,2
514,Louisiana,1902,9
515,Louisiana,1906,3
516,Louisiana,1908,2
517,Louisiana,1912,5
518,Louisiana,1914,7
519,Louisiana,1916,6
520,Louisiana,1918,2
521,Louisiana,1920,4
522,Louisiana,1922,7
523,Louisiana,1924,12
524,Louisiana,1926,13
525,Louisiana,1928,4
526,Louisiana,1930,5
527,Louisiana,1932,7
528,Louisiana,1934,6
529,Louisiana,1936,8
530,Louisiana,1938,6
531,Louisiana,1940,9
532,Maine,1878,0
533,Maine,1880,2
534,Maine,1882,3
535,Maine,1884,3
536,Maine,1886,0
537,Maine,1888,3
538,Maine,1890,1
539,Maine,1892,4
540,Maine,1896,3
541,Maine,1900,3
542,Maine,1902,4
543,Maine,1906,2
544,Maine,1908,8
545,Maine,1912,1
546,Maine,1914,1
547,Maine,1916,1
548,Maine,1918,0
549,Maine,1920,0
550,Maine,1922,0
551,Maine,1924,3
552,Maine,1926,0
553,Maine,1928,1
554,Maine,1930,3
555,Maine,1932,4
556,Maine,1934,5
557,Maine,1936,0
558,Maine,1938,2
559,Maine,1940,3
560,Maryland,1878,1
561,Maryland,1880,2
562,Maryland,1882,4
563,Maryland,1884,4
564,Maryland,1886,4
565,Maryland,1888,3
566,Maryland,1890,3
567,Maryland,1892,5
568,Maryland,1896,2
569,Maryland,1900,2
570,Maryland,1902,4
571,Maryland,1906,1
572,Maryland,1908,5
573,Maryland,1912,4
574,Maryland,1914,6
575,Maryland,1916,1
576,Maryland,1918,1
577,Maryland,1920,3
578,Maryland,1922,3
579,Maryland,1924,6
580,Maryland,1926,4
581,Maryland,1928,1
582,Maryland,1930,2
583,Maryland,1932,1
584,Maryland,1934,4
585,Maryland,1936,1
586,Maryland,1938,3
587,Maryland,1940,5
588,Massachusetts,1878,5
589,Massachusetts,1880,6
590,Massachusetts,1882,12
591,Massachusetts,1884,7
592,Massachusetts,1886,6
593,Massachusetts,1888,8
594,Massachusetts,1890,14
595,Massachusetts,1892,16
596,Massachusetts,1896,15
597,Massachusetts,1900,12
598,Massachusetts,1902,10
599,Massachusetts,1906,10
600,Massachusetts,1908,9
601,Massachusetts,1912,10
602,Massachusetts,1914,12
603,Massachusetts,1916,6
604,Massachusetts,1918,6
605,Massachusetts,1920,5
606,Massachusetts,1922,8
607,Massachusetts,1924,7
608,Massachusetts,1926,11
609,Massachusetts,1928,7
610,Massachusetts,1930,6
611,Massachusetts,1932,11
612,Massachusetts,1934,7
613,Massachusetts,1936,7
614,Massachusetts,1938,10
615,Massachusetts,1940,4
616,Michigan,1878,1
617,Michigan,1880,3
618,Michigan,1882,4
619,Michigan,1884,9
620,Michigan,1886,3
621,Michigan,1888,12
622,Michigan,1890,17
623,Michigan,1892,14
624,Michigan,1896,12
625,Michigan,1900,3
626,Michigan,1902,9
627,Michigan,1906,9
628,Michigan,1908,14
629,Michigan,1912,7
630,Michigan,1914,16
631,Michigan,1916,15
632,Michigan,1918,12
633,Michigan,1920,13
634,Michigan,1922,13
635,Michigan,1924,12
636,Michigan,1926,14
637,Michigan,1928,13
638,Michigan,1930,19
639,Michigan,1932,18
640,Michigan,1934,15
641,Michigan,1936,15
642,Michigan,1938,16
643,Michigan,1940,14
644,Minnesota,1878,1
645,Minnesota,1880,0
646,Minnesota,1882,2
647,Minnesota,1884,4
648,Minnesota,1886,2
649,Minnesota,1888,0
650,Minnesota,1890,2
651,Minnesota,1892,5
652,Minnesota,1896,2
653,Minnesota,1900,0
654,Minnesota,1902,2
655,Minnesota,1906,10
656,Minnesota,1908,4
657,Minnesota,1912,9
658,Minnesota,1914,7
659,Minnesota,1916,6
660,Minnesota,1918,1
661,Minnesota,1920,3
662,Minnesota,1922,4
663,Minnesota,1924,8
664,Minnesota,1926,6
665,Minnesota,1928,7
666,Minnesota,1930,15
667,Minnesota,1932,10
668,Minnesota,1934,14
669,Minnesota,1936,7
670,Minnesota,1938,8
671,Minnesota,1940,10
672,Mississippi,1878,0
673,Mississippi,1880,1
674,Mississippi,1882,1
675,Mississippi,1884,2
676,Mississippi,1886,4
677,Mississippi,1888,1
678,Mississippi,1890,5
679,Mississippi,1892,4
680,Mississippi,1896,3
681,Mississippi,1900,1
682,Mississippi,1902,6
683,Mississippi,1906,6
684,Mississippi,1908,4
685,Mississippi,1912,2
686,Mississippi,1914,3
687,Mississippi,1916,3
688,Mississippi,1918,2
689,Mississippi,1920,2
690,Mississippi,1922,4
691,Mississippi,1924,5
692,Mississippi,1926,3
693,Mississippi,1928,1
694,Mississippi,1930,7
695,Mississippi,1932,11
696,Mississippi,1934,7
697,Mississippi,1936,8
698,Mississippi,1938,2
699,Mississippi,1940,5
700,Missouri,1878,13
701,Missouri,1880,15
702,Missouri,1882,22
703,Missouri,1884,28
704,Missouri,1886,18
705,Missouri,1888,24
706,Missouri,1890,44
707,Missouri,1892,45
708,Missouri,1896,45
709,Missouri,1900,31
710,Missouri,1902,42
711,Missouri,1906,40
712,Missouri,1908,46
713,Missouri,1912,37
714,Missouri,1914,50
715,Missouri,1916,51
716,Missouri,1918,30
717,Missouri,1920,46
718,Missouri,1922,66
719,Missouri,1924,57
720,Missouri,1926,82
721,Missouri,1928,83
722,Missouri,1930,83
723,Missouri,1932,115
724,Missouri,1934,83
725,Missouri,1936,86
726,Missouri,1938,113
727,Missouri,1940,83
728,Montana,1878,0
729,Montana,1880,0
730,Montana,1882,0
731,Montana,1884,0
732,Montana,1886,1
733,Montana,1888,0
734,Montana,1890,0
735,Montana,1892,0
736,Montana,1896,0
737,Montana,1900,1
738,Montana,1902,2
739,Montana,1906,1
740,Montana,1908,1
741,Montana,1912,3
742,Montana,1914,1
743,Montana,1916,2
744,Montana,1918,3
745,Montana,1920,3
746,Montana,1922,5
747,Montana,1924,3
748,Montana,1926,5
749,Montana,1928,1
750,Montana,1930,1
751,Montana,1932,5
752,Montana,1934,6
753,Montana,1936,7
754,Montana,1938,7
755,Montana,1940,6
756,Nebraska,1878,1
757,Nebraska,1880,1
758,Nebraska,1882,1
759,Nebraska,1884,2
760,Nebraska,1886,0
761,Nebraska,1888,1
762,Nebraska,1890,11
763,Nebraska,1892,13
764,Nebraska,1896,4
765,Nebraska,1900,4
766,Nebraska,1902,6
767,Nebraska,1906,9
768,Nebraska,1908,9
769,Nebraska,1912,17
770,Nebraska,1914,10
771,Nebraska,1916,12
772,Nebraska,1918,10
773,Nebraska,1920,12
774,Nebraska,1922,26
775,Nebraska,1924,24
776,Nebraska,1926,34
777,Nebraska,1928,46
778,Nebraska,1930,40
779,Nebraska,1932,40
780,Nebraska,1934,58
781,Nebraska,1936,57
782,Nebraska,1938,62
783,Nebraska,1940,61
784,Nevada,1878,0
785,Nevada,1880,0
786,Nevada,1882,0
787,Nevada,1884,0
788,Nevada,1886,0
789,Nevada,1888,1
790,Nevada,1890,0
791,Nevada,1892,2
792,Nevada,1896,0
793,Nevada,1900,0
794,Nevada,1902,0
795,Nevada,1906,0
796,Nevada,1908,0
797,Nevada,1912,0
798,Nevada,1914,1
799,Nevada,1916,1
800,Nevada,1918,0
801,Nevada,1920,0
802,Nevada,1922,1
803,Nevada,1924,1
804,Nevada,1926,1
805,Nevada,1928,1
806,Nevada,1930,2
807,Nevada,1932,2
808,Nevada,1934,1
809,Nevada,1936,1
810,Nevada,1938,0
811,Nevada,1940,0
812,New Hampshire,1878,0
813,New Hampshire,1880,0
814,New Hampshire,1882,0
815,New Hampshire,1884,2
816,New Hampshire,1886,1
817,New Hampshire,1888,1
818,New Hampshire,1890,0
819,New Hampshire,1892,0
820,New Hampshire,1896,0
821,New Hampshire,1900,0
822,New Hampshire,1902,5
823,New Hampshire,1906,0
824,New Hampshire,1908,0
825,New Hampshire,1912,0
826,New Hampshire,1914,2
827,New Hampshire,1916,1
828,New Hampshire,1918,0
829,New Hampshire,1920,1
830,New Hampshire,1922,0
831,New Hampshire,1924,1
832,New Hampshire,1926,1
833,New Hampshire,1928,0
834,New Hampshire,1930,0
835,New Hampshire,1932,0
836,New Hampshire,1934,1
837,New Hampshire,1936,0
838,New Hampshire,1938,0
839,New Hampshire,1940,0
840,New Jersey,1878,0
841,New Jersey,1880,2
842,New Jersey,1882,1
843,New Jersey,1884,0
844,New Jersey,1886,1
845,New Jersey,1888,7
846,New Jersey,1890,11
847,New Jersey,1892,11
848,New Jersey,1896,8
849,New Jersey,1900,4
850,New Jersey,1902,2
851,New Jersey,1906,3
852,New Jersey,1908,3
853,New Jersey,1912,2
854,New Jersey,1914,4
855,New Jersey,1916,5
856,New Jersey,1918,4
857,New Jersey,1920,4
858,New Jersey,1922,1
859,New Jersey,1924,5
860,New Jersey,1926,4
861,New Jersey,1928,3
862,New Jersey,1930,0
863,New Jersey,1932,4
864,New Jersey,1934,5
865,New Jersey,1936,1
866,New Jersey,1938,4
867,New Jersey,1940,2
868,New Mexico,1878,3
869,New Mexico,1880,2
870,New Mexico,1882,7
871,New Mexico,1884,10
872,New Mexico,1886,5
873,New Mexico,1888,3
874,New Mexico,1890,11
875,New Mexico,1892,7
876,New Mexico,1896,4
877,New Mexico,1900,10
878,New Mexico,1902,10
879,New Mexico,1906,13
880,New Mexico,1908,17
881,New Mexico,1912,17
882,New Mexico,1914,14
883,New Mexico,1916,25
884,New Mexico,1918,18
885,New Mexico,1920,20
886,New Mexico,1922,32
887,New Mexico,1924,30
888,New Mexico,1926,49
889,New Mexico,1928,54
890,New Mexico,1930,65
891,New Mexico,1932,65
892,New Mexico,1934,97
893,New Mexico,1936,68
894,New Mexico,1938,85
895,New Mexico,1940,99
896,New York,1878,20
897,New York,1880,36
898,New York,1882,51
899,New York,1884,50
900,New York,1886,41
901,New York,1888,55
902,New York,1890,58
903,New York,1892,81
904,New York,1896,53
905,New York,1900,28
906,New York,1902,32
907,New York,1906,29
908,New York,1908,29
909,New York,1912,34
910,New York,1914,30
911,New York,1916,36
912,New York,1918,18
913,New York,1920,16
914,New York,1922,24
915,New York,1924,30
916,New York,1926,26
917,New York,1928,29
918,New York,1930,29
919,New York,1932,30
920,New York,1934,23
921,New York,1936,23
922,New York,1938,23
923,New York,1940,25
924,North Carolina,1878,1
925,North Carolina,1880,1
926,North Carolina,1882,3
927,North Carolina,1884,1
928,North Carolina,1886,1
929,North Carolina,1888,3
930,North Carolina,1890,0
931,North Carolina,1892,3
932,North Carolina,1896,3
933,North Carolina,1900,0
934,North Carolina,1902,4
935,North Carolina,1906,0
936,North Carolina,1908,6
937,North Carolina,1912,2
938,North Carolina,1914,6
939,North Carolina,1916,3
940,North Carolina,1918,4
941,North Carolina,1920,2
942,North Carolina,1922,2
943,North Carolina,1924,3
944,North Carolina,1926,6
945,North Carolina,1928,8
946,North Carolina,1930,5
947,North Carolina,1932,11
948,North Carolina,1934,8
949,North Carolina,1936,3
950,North Carolina,1938,1
951,North Carolina,1940,7
952,North Dakota,1878,0
953,North Dakota,1880,0
954,North Dakota,1882,0
955,North Dakota,1884,0
956,North Dakota,1886,0
957,North Dakota,1888,0
958,North Dakota,1890,0
959,North Dakota,1892,0
960,North Dakota,1896,0
961,North Dakota,1900,0
962,North Dakota,1902,0
963,North Dakota,1906,0
964,North Dakota,1908,0
965,North Dakota,1912,0
966,North Dakota,1914,0
967,North Dakota,1916,0
968,North Dakota,1918,1
969,North Dakota,1920,0
970,North Dakota,1922,2
971,North Dakota,1924,2
972,North Dakota,1926,1
973,North Dakota,1928,3
974,North Dakota,1930,1
975,North Dakota,1932,5
976,North Dakota,1934,3
977,North Dakota,1936,1
978,North Dakota,1938,1
979,North Dakota,1940,2
980,Ohio,1878,8
981,Ohio,1880,14
982,Ohio,1882,21
983,Ohio,1884,24
984,Ohio,1886,20
985,Ohio,1888,21
986,Ohio,1890,36
987,Ohio,1892,49
988,Ohio,1896,27
989,Ohio,1900,20
990,Ohio,1902,20
991,Ohio,1906,29
992,Ohio,1908,26
993,Ohio,1912,22
994,Ohio,1914,30
995,Ohio,1916,18
996,Ohio,1918,11
997,Ohio,1920,9
998,Ohio,1922,24
999,Ohio,1924,27
1000,Ohio,1926,21
1001,Ohio,1928,28
1002,Ohio,1930,24
1003,Ohio,1932,30
1004,Ohio,1934,26
1005,Ohio,1936,27
1006,Ohio,1938,25
1007,Ohio,1940,17
1008,Oklahoma,1878,0
1009,Oklahoma,1880,0
1010,Oklahoma,1882,0
1011,Oklahoma,1884,0
1012,Oklahoma,1886,0
1013,Oklahoma,1888,0
1014,Oklahoma,1890,0
1015,Oklahoma,1892,0
1016,Oklahoma,1896,0
1017,Oklahoma,1900,0
1018,Oklahoma,1902,0
1019,Oklahoma,1906,0
1020,Oklahoma,1908,2
1021,Oklahoma,1912,8
1022,Oklahoma,1914,3
1023,Oklahoma,1916,11
1024,Oklahoma,1918,3
1025,Oklahoma,1920,11
1026,Oklahoma,1922,21
1027,Oklahoma,1924,23
1028,Oklahoma,1926,24
1029,Oklahoma,1928,41
1030,Oklahoma,1930,35
1031,Oklahoma,1932,60
1032,Oklahoma,1934,55
1033,Oklahoma,1936,48
1034,Oklahoma,1938,77
1035,Oklahoma,1940,74
1036,Oregon,1878,0
1037,Oregon,1880,0
1038,Oregon,1882,0
1039,Oregon,1884,1
1040,Oregon,1886,0
1041,Oregon,1888,0
1042,Oregon,1890,1
1043,Oregon,1892,2
1044,Oregon,1896,1
1045,Oregon,1900,2
1046,Oregon,1902,1
1047,Oregon,1906,0
1048,Oregon,1908,0
1049,Oregon,1912,2
1050,Oregon,1914,2
1051,Oregon,1916,5
1052,Oregon,1918,0
1053,Oregon,1920,3
1054,Oregon,1922,5
1055,Oregon,1924,0
1056,Oregon,1926,4
1057,Oregon,1928,2
1058,Oregon,1930,1
1059,Oregon,1932,2
1060,Oregon,1934,3
1061,Oregon,1936,7
1062,Oregon,1938,3
1063,Oregon,1940,0
1064,Pennsylvania,1878,6
1065,Pennsylvania,1880,23
1066,Pennsylvania,1882,24
1067,Pennsylvania,1884,20
1068,Pennsylvania,1886,27
1069,Pennsylvania,1888,29
1070,Pennsylvania,1890,42
1071,Pennsylvania,1892,52
1072,Pennsylvania,1896,29
1073,Pennsylvania,1900,11
1074,Pennsylvania,1902,32
1075,Pennsylvania,1906,23
1076,Pennsylvania,1908,20
1077,Pennsylvania,1912,35
1078,Pennsylvania,1914,39
1079,Pennsylvania,1916,23
1080,Pennsylvania,1918,11
1081,Pennsylvania,1920,8
1082,Pennsylvania,1922,20
1083,Pennsylvania,1924,19
1084,Pennsylvania,1926,24
1085,Pennsylvania,1928,28
1086,Pennsylvania,1930,22
1087,Pennsylvania,1932,26
1088,Pennsylvania,1934,33
1089,Pennsylvania,1936,18
1090,Pennsylvania,1938,25
1091,Pennsylvania,1940,18
1092,Rhode Island,1878,0
1093,Rhode Island,1880,1
1094,Rhode Island,1882,3
1095,Rhode Island,1884,5
1096,Rhode Island,1886,1
1097,Rhode Island,1888,1
1098,Rhode Island,1890,3
1099,Rhode Island,1892,1
1100,Rhode Island,1896,1
1101,Rhode Island,1900,1
1102,Rhode Island,1902,0
1103,Rhode Island,1906,1
1104,Rhode Island,1908,1
1105,Rhode Island,1912,0
1106,Rhode Island,1914,3
1107,Rhode Island,1916,0
1108,Rhode Island,1918,0
1109,Rhode Island,1920,1
1110,Rhode Island,1922,0
1111,Rhode Island,1924,1
1112,Rhode Island,1926,1
1113,Rhode Island,1928,1
1114,Rhode Island,1930,3
1115,Rhode Island,1932,2
1116,Rhode Island,1934,1
1117,Rhode Island,1936,1
1118,Rhode Island,1938,0
