,Country,Year,Prisoners
164,Assyria,1934,0.0
165,Assyria,1936,0.0
166,Assyria,1938,0.0
167,Assyria,1940,0.0
168,Australia,1878,0.0
169,Australia,1880,0.0
170,Australia,1882,1.0
171,Australia,1884,0.0
172,Australia,1886,1.0
173,Australia,1888,0.0
174,Australia,1890,1.0
175,Australia,1892,1.0
176,Australia,1896,1.0
177,Australia,1900,1.0
178,Australia,1902,1.0
179,Australia,1906,3.0
180,Australia,1908,0.0
181,Australia,1912,0.0
182,Australia,1914,3.0
183,Australia,1916,1.0
184,Australia,1918,0.0
185,Australia,1920,0.0
186,Australia,1922,15.0
187,Australia,1924,0.0
188,Australia,1926,1.0
189,Australia,1928,0.0
190,Australia,1930,0.0
191,Australia,1932,0.0
192,Australia,1934,0.0
193,Australia,1936,0.0
194,Australia,1938,0.0
195,Australia,1940,0.0
196,Austria,1878,1.0
197,Austria,1880,1.0
198,Austria,1882,0.0
199,Austria,1884,2.0
200,Austria,1886,0.0
201,Austria,1888,5.0
202,Austria,1890,1.0
203,Austria,1892,3.0
204,Austria,1896,4.0
205,Austria,1900,3.0
206,Austria,1902,12.0
207,Austria,1906,5.0
208,Austria,1908,14.0
209,Austria,1912,13.0
210,Austria,1914,11.0
211,Austria,1916,16.0
212,Austria,1918,8.0
213,Austria,1920,13.0
214,Austria,1922,2.0
215,Austria,1924,15.0
216,Austria,1926,16.0
217,Austria,1928,2.0
218,Austria,1930,7.0
219,Austria,1932,7.0
220,Austria,1934,2.0
221,Austria,1936,2.0
222,Austria,1938,1.0
223,Austria,1940,2.0
224,Belgium,1878,0.0
225,Belgium,1880,0.0
226,Belgium,1882,0.0
227,Belgium,1884,0.0
228,Belgium,1886,1.0
229,Belgium,1888,0.0
230,Belgium,1890,0.0
231,Belgium,1892,3.0
232,Belgium,1896,2.0
233,Belgium,1900,0.0
234,Belgium,1902,0.0
235,Belgium,1906,0.0
236,Belgium,1908,0.0
237,Belgium,1912,0.0
238,Belgium,1914,0.0
239,Belgium,1916,0.0
240,Belgium,1918,0.0
241,Belgium,1920,0.0
242,Belgium,1922,0.0
243,Belgium,1924,1.0
244,Belgium,1926,2.0
245,Belgium,1928,3.0
246,Belgium,1930,1.0
247,Belgium,1932,0.0
248,Belgium,1934,0.0
249,Belgium,1936,1.0
250,Belgium,1938,0.0
251,Belgium,1940,0.0
252,Bermuda Islands,1878,0.0
253,Bermuda Islands,1880,0.0
254,Bermuda Islands,1882,0.0
255,Bermuda Islands,1884,0.0
256,Bermuda Islands,1886,0.0
257,Bermuda Islands,1888,0.0
258,Bermuda Islands,1890,0.0
259,Bermuda Islands,1892,0.0
260,Bermuda Islands,1896,0.0
261,Bermuda Islands,1900,0.0
262,Bermuda Islands,1902,0.0
263,Bermuda Islands,1906,0.0
264,Bermuda Islands,1908,0.0
265,Bermuda Islands,1912,0.0
266,Bermuda Islands,1914,0.0
267,Bermuda Islands,1916,0.0
268,Bermuda Islands,1918,0.0
269,Bermuda Islands,1920,0.0
270,Bermuda Islands,1922,0.0
271,Bermuda Islands,1924,0.0
272,Bermuda Islands,1926,0.0
273,Bermuda Islands,1928,1.0
274,Bermuda Islands,1930,0.0
275,Bermuda Islands,1932,0.0
276,Bermuda Islands,1934,0.0
277,Bermuda Islands,1936,0.0
278,Bermuda Islands,1938,0.0
279,Bermuda Islands,1940,0.0
280,Bohemia,1878,0.0
281,Bohemia,1880,1.0
282,Bohemia,1882,0.0
283,Bohemia,1884,0.0
284,Bohemia,1886,0.0
285,Bohemia,1888,0.0
286,Bohemia,1890,0.0
287,Bohemia,1892,0.0
288,Bohemia,1896,0.0
289,Bohemia,1900,0.0
290,Bohemia,1902,0.0
291,Bohemia,1906,0.0
292,Bohemia,1908,0.0
293,Bohemia,1912,0.0
294,Bohemia,1914,1.0
295,Bohemia,1916,1.0
296,Bohemia,1918,0.0
297,Bohemia,1920,0.0
298,Bohemia,1922,1.0
299,Bohemia,1924,1.0
300,Bohemia,1926,0.0
301,Bohemia,1928,0.0
302,Bohemia,1930,0.0
303,Bohemia,1932,0.0
304,Bohemia,1934,0.0
305,Bohemia,1936,0.0
306,Bohemia,1938,0.0
307,Bohemia,1940,0.0
308,Brazil,1878,0.0
309,Brazil,1880,0.0
310,Brazil,1882,0.0
311,Brazil,1884,0.0
312,Brazil,1886,0.0
313,Brazil,1888,0.0
314,Brazil,1890,0.0
315,Brazil,1892,0.0
316,Brazil,1896,0.0
317,Brazil,1900,0.0
318,Brazil,1902,0.0
319,Brazil,1906,0.0
320,Brazil,1908,0.0
321,Brazil,1912,0.0
322,Brazil,1914,0.0
323,Brazil,1916,0.0
324,Brazil,1918,0.0
325,Brazil,1920,0.0
326,Brazil,1922,0.0
327,Brazil,1924,1.0
328,Brazil,1926,0.0
329,Brazil,1928,0.0
330,Brazil,1930,0.0
331,Brazil,1932,0.0
332,Brazil,1934,1.0
333,Brazil,1936,0.0
334,Brazil,1938,0.0
335,Brazil,1940,0.0
336,British Columbia,1878,0.0
337,British Columbia,1880,0.0
338,British Columbia,1882,0.0
339,British Columbia,1884,0.0
340,British Columbia,1886,0.0
341,British Columbia,1888,0.0
342,British Columbia,1890,0.0
343,British Columbia,1892,0.0
344,British Columbia,1896,0.0
345,British Columbia,1900,0.0
346,British Columbia,1902,0.0
347,British Columbia,1906,1.0
348,British Columbia,1908,0.0
349,British Columbia,1912,0.0
350,British Columbia,1914,0.0
351,British Columbia,1916,0.0
352,British Columbia,1918,0.0
353,British Columbia,1920,0.0
354,British Columbia,1922,0.0
355,British Columbia,1924,0.0
356,British Columbia,1926,0.0
357,British Columbia,1928,0.0
358,British Columbia,1930,0.0
359,British Columbia,1932,0.0
360,British Columbia,1934,0.0
361,British Columbia,1936,0.0
362,British Columbia,1938,0.0
363,British Columbia,1940,0.0
364,British West Indies,1878,0.0
365,British West Indies,1880,0.0
366,British West Indies,1882,0.0
367,British West Indies,1884,0.0
368,British West Indies,1886,0.0
369,British West Indies,1888,0.0
370,British West Indies,1890,0.0
371,British West Indies,1892,0.0
372,British West Indies,1896,0.0
373,British West Indies,1900,0.0
374,British West Indies,1902,0.0
375,British West Indies,1906,0.0
376,British West Indies,1908,0.0
377,British West Indies,1912,0.0
378,British West Indies,1914,0.0
379,British West Indies,1916,0.0
380,British West Indies,1918,0.0
381,British West Indies,1920,0.0
382,British West Indies,1922,0.0
383,British West Indies,1924,0.0
384,British West Indies,1926,1.0
385,British West Indies,1928,0.0
386,British West Indies,1930,0.0
387,British West Indies,1932,0.0
388,British West Indies,1934,0.0
389,British West Indies,1936,0.0
390,British West Indies,1938,0.0
391,British West Indies,1940,1.0
392,Bulgaria,1878,0.0
393,Bulgaria,1880,0.0
394,Bulgaria,1882,0.0
395,Bulgaria,1884,0.0
396,Bulgaria,1886,0.0
397,Bulgaria,1888,0.0
398,Bulgaria,1890,0.0
399,Bulgaria,1892,0.0
400,Bulgaria,1896,0.0
401,Bulgaria,1900,0.0
402,Bulgaria,1902,0.0
403,Bulgaria,1906,0.0
404,Bulgaria,1908,1.0
405,Bulgaria,1912,1.0
406,Bulgaria,1914,0.0
407,Bulgaria,1916,0.0
408,Bulgaria,1918,2.0
409,Bulgaria,1920,1.0
410,Bulgaria,1922,3.0
411,Bulgaria,1924,2.0
412,Bulgaria,1926,4.0
413,Bulgaria,1928,1.0
414,Bulgaria,1930,0.0
415,Bulgaria,1932,0.0
416,Bulgaria,1934,0.0
417,Bulgaria,1936,0.0
418,Bulgaria,1938,1.0
419,Bulgaria,1940,0.0
420,Canada,1878,9.0
421,Canada,1880,6.0
422,Canada,1882,7.0
423,Canada,1884,11.0
424,Canada,1886,7.0
425,Canada,1888,14.0
426,Canada,1890,21.0
427,Canada,1892,15.0
428,Canada,1896,12.0
429,Canada,1900,5.0
430,Canada,1902,6.0
431,Canada,1906,7.0
432,Canada,1908,5.0
433,Canada,1912,3.0
434,Canada,1914,7.0
435,Canada,1916,10.0
436,Canada,1918,5.0
437,Canada,1920,7.0
438,Canada,1922,6.0
439,Canada,1924,14.0
440,Canada,1926,7.0
441,Canada,1928,9.0
442,Canada,1930,3.0
443,Canada,1932,6.0
444,Canada,1934,4.0
445,Canada,1936,2.0
446,Canada,1938,7.0
447,Canada,1940,2.0
448,Cape Good Hope,1878,0.0
449,Cape Good Hope,1880,0.0
450,Cape Good Hope,1882,0.0
451,Cape Good Hope,1884,0.0
452,Cape Good Hope,1886,0.0
453,Cape Good Hope,1888,0.0
454,Cape Good Hope,1890,1.0
455,Cape Good Hope,1892,1.0
456,Cape Good Hope,1896,0.0
457,Cape Good Hope,1900,0.0
458,Cape Good Hope,1902,0.0
459,Cape Good Hope,1906,0.0
460,Cape Good Hope,1908,0.0
461,Cape Good Hope,1912,0.0
462,Cape Good Hope,1914,0.0
463,Cape Good Hope,1916,0.0
464,Cape Good Hope,1918,0.0
465,Cape Good Hope,1920,0.0
466,Cape Good Hope,1922,0.0
467,Cape Good Hope,1924,0.0
468,Cape Good Hope,1926,0.0
469,Cape Good Hope,1928,0.0
470,Cape Good Hope,1930,0.0
471,Cape Good Hope,1932,0.0
472,Cape Good Hope,1934,0.0
473,Cape Good Hope,1936,0.0
474,Cape Good Hope,1938,0.0
475,Cape Good Hope,1940,0.0
476,Central America,1878,0.0
477,Central America,1880,0.0
478,Central America,1882,0.0
479,Central America,1884,0.0
480,Central America,1886,0.0
481,Central America,1888,0.0
482,Central America,1890,0.0
483,Central America,1892,0.0
484,Central America,1896,0.0
485,Central America,1900,0.0
486,Central America,1902,0.0
487,Central America,1906,0.0
488,Central America,1908,0.0
489,Central America,1912,0.0
490,Central America,1914,0.0
491,Central America,1916,0.0
492,Central America,1918,0.0
493,Central America,1920,3.0
494,Central America,1922,0.0
495,Central America,1924,0.0
496,Central America,1926,0.0
497,Central America,1928,0.0
498,Central America,1930,0.0
499,Central America,1932,0.0
500,Central America,1934,0.0
501,Central America,1936,0.0
502,Central America,1938,0.0
503,Central America,1940,0.0
504,Czechoslovakia ,1878,0.0
505,Czechoslovakia ,1880,0.0
506,Czechoslovakia ,1882,0.0
507,Czechoslovakia ,1884,0.0
508,Czechoslovakia ,1886,0.0
509,Czechoslovakia ,1888,0.0
510,Czechoslovakia ,1890,0.0
511,Czechoslovakia ,1892,0.0
512,Czechoslovakia ,1896,0.0
513,Czechoslovakia ,1900,0.0
514,Czechoslovakia ,1902,0.0
515,Czechoslovakia ,1906,0.0
516,Czechoslovakia ,1908,0.0
517,Czechoslovakia ,1912,0.0
518,Czechoslovakia ,1914,0.0
519,Czechoslovakia ,1916,0.0
520,Czechoslovakia ,1918,0.0
521,Czechoslovakia ,1920,0.0
522,Czechoslovakia ,1922,0.0
523,Czechoslovakia ,1924,0.0
524,Czechoslovakia ,1926,0.0
525,Czechoslovakia ,1928,0.0
526,Czechoslovakia ,1930,1.0
527,Czechoslovakia ,1932,0.0
528,Czechoslovakia ,1934,0.0
529,Czechoslovakia ,1936,0.0
530,Czechoslovakia ,1938,0.0
531,Czechoslovakia ,1940,0.0
532,China,1878,0.0
533,China,1880,0.0
534,China,1882,0.0
535,China,1884,1.0
536,China,1886,1.0
537,China,1888,0.0
538,China,1890,0.0
539,China,1892,1.0
540,China,1896,0.0
541,China,1900,0.0
542,China,1902,0.0
543,China,1906,0.0
544,China,1908,1.0
545,China,1912,0.0
546,China,1914,0.0
547,China,1916,0.0
548,China,1918,0.0
549,China,1920,0.0
550,China,1922,0.0
551,China,1924,0.0
552,China,1926,0.0
553,China,1928,0.0
554,China,1930,0.0
555,China,1932,0.0
556,China,1934,0.0
557,China,1936,0.0
558,China,1938,1.0
559,China,1940,0.0
560,Costa Rica,1878,0.0
561,Costa Rica,1880,0.0
562,Costa Rica,1882,0.0
563,Costa Rica,1884,0.0
564,Costa Rica,1886,0.0
565,Costa Rica,1888,0.0
566,Costa Rica,1890,0.0
567,Costa Rica,1892,0.0
568,Costa Rica,1896,0.0
569,Costa Rica,1900,0.0
570,Costa Rica,1902,0.0
571,Costa Rica,1906,0.0
572,Costa Rica,1908,0.0
573,Costa Rica,1912,0.0
574,Costa Rica,1914,0.0
575,Costa Rica,1916,0.0
576,Costa Rica,1918,0.0
577,Costa Rica,1920,0.0
578,Costa Rica,1922,0.0
579,Costa Rica,1924,0.0
580,Costa Rica,1926,1.0
581,Costa Rica,1928,0.0
582,Costa Rica,1930,0.0
583,Costa Rica,1932,0.0
584,Costa Rica,1934,0.0
585,Costa Rica,1936,0.0
586,Costa Rica,1938,0.0
587,Costa Rica,1940,0.0
588,Crete,1878,0.0
589,Crete,1880,0.0
590,Crete,1882,0.0
591,Crete,1884,0.0
592,Crete,1886,0.0
593,Crete,1888,0.0
594,Crete,1890,0.0
595,Crete,1892,0.0
596,Crete,1896,0.0
597,Crete,1900,0.0
598,Crete,1902,0.0
599,Crete,1906,0.0
600,Crete,1908,0.0
601,Crete,1912,0.0
602,Crete,1914,1.0
603,Crete,1916,0.0
604,Crete,1918,0.0
605,Crete,1920,0.0
606,Crete,1922,0.0
607,Crete,1924,0.0
608,Crete,1926,0.0
609,Crete,1928,0.0
610,Crete,1930,0.0
611,Crete,1932,0.0
612,Crete,1934,0.0
613,Crete,1936,0.0
614,Crete,1938,0.0
615,Crete,1940,0.0
616,Croatia,1878,0.0
617,Croatia,1880,0.0
618,Croatia,1882,0.0
619,Croatia,1884,0.0
620,Croatia,1886,0.0
621,Croatia,1888,0.0
622,Croatia,1890,0.0
623,Croatia,1892,0.0
624,Croatia,1896,0.0
625,Croatia,1900,0.0
626,Croatia,1902,0.0
627,Croatia,1906,0.0
628,Croatia,1908,0.0
629,Croatia,1912,0.0
630,Croatia,1914,0.0
631,Croatia,1916,0.0
632,Croatia,1918,0.0
633,Croatia,1920,0.0
634,Croatia,1922,0.0
635,Croatia,1924,0.0
636,Croatia,1926,0.0
637,Croatia,1928,0.0
638,Croatia,1930,0.0
639,Croatia,1932,0.0
640,Croatia,1934,0.0
641,Croatia,1936,1.0
642,Croatia,1938,0.0
643,Croatia,1940,0.0
644,Cuba,1878,0.0
645,Cuba,1880,0.0
646,Cuba,1882,1.0
647,Cuba,1884,1.0
648,Cuba,1886,0.0
649,Cuba,1888,0.0
650,Cuba,1890,0.0
651,Cuba,1892,2.0
652,Cuba,1896,1.0
653,Cuba,1900,0.0
654,Cuba,1902,0.0
655,Cuba,1906,0.0
656,Cuba,1908,0.0
657,Cuba,1912,0.0
658,Cuba,1914,0.0
659,Cuba,1916,2.0
660,Cuba,1918,0.0
661,Cuba,1920,0.0
662,Cuba,1922,2.0
663,Cuba,1924,0.0
664,Cuba,1926,0.0
665,Cuba,1928,0.0
666,Cuba,1930,0.0
667,Cuba,1932,0.0
668,Cuba,1934,0.0
669,Cuba,1936,0.0
670,Cuba,1938,0.0
671,Cuba,1940,0.0
672,Denmark,1878,0.0
673,Denmark,1880,0.0
674,Denmark,1882,0.0
675,Denmark,1884,1.0
676,Denmark,1886,1.0
677,Denmark,1888,1.0
678,Denmark,1890,0.0
679,Denmark,1892,3.0
680,Denmark,1896,2.0
681,Denmark,1900,2.0
682,Denmark,1902,0.0
683,Denmark,1906,3.0
684,Denmark,1908,2.0
685,Denmark,1912,2.0
686,Denmark,1914,0.0
687,Denmark,1916,0.0
688,Denmark,1918,0.0
689,Denmark,1920,0.0
690,Denmark,1922,2.0
691,Denmark,1924,1.0
692,Denmark,1926,1.0
693,Denmark,1928,0.0
694,Denmark,1930,1.0
695,Denmark,1932,0.0
696,Denmark,1934,1.0
697,Denmark,1936,0.0
698,Denmark,1938,1.0
699,Denmark,1940,2.0
700,East Indies,1878,0.0
701,East Indies,1880,0.0
702,East Indies,1882,0.0
703,East Indies,1884,0.0
704,East Indies,1886,1.0
705,East Indies,1888,0.0
706,East Indies,1890,0.0
707,East Indies,1892,0.0
708,East Indies,1896,0.0
709,East Indies,1900,0.0
710,East Indies,1902,0.0
711,East Indies,1906,0.0
712,East Indies,1908,0.0
713,East Indies,1912,0.0
714,East Indies,1914,0.0
715,East Indies,1916,0.0
716,East Indies,1918,0.0
717,East Indies,1920,0.0
718,East Indies,1922,0.0
719,East Indies,1924,0.0
720,East Indies,1926,0.0
721,East Indies,1928,0.0
722,East Indies,1930,0.0
723,East Indies,1932,0.0
724,East Indies,1934,0.0
725,East Indies,1936,0.0
726,East Indies,1938,0.0
727,East Indies,1940,0.0
728,England,1878,7.0
729,England,1880,11.0
730,England,1882,11.0
731,England,1884,12.0
732,England,1886,13.0
733,England,1888,17.0
734,England,1890,21.0
735,England,1892,30.0
736,England,1896,19.0
737,England,1900,21.0
738,England,1902,8.0
739,England,1906,6.0
740,England,1908,8.0
741,England,1912,12.0
742,England,1914,12.0
743,England,1916,8.0
744,England,1918,8.0
745,England,1920,4.0
746,England,1922,7.0
747,England,1924,3.0
748,England,1926,6.0
749,England,1928,4.0
750,England,1930,4.0
751,England,1932,5.0
752,England,1934,1.0
753,England,1936,3.0
754,England,1938,2.0
755,England,1940,4.0
756,Egypt,1878,0.0
757,Egypt,1880,0.0
758,Egypt,1882,0.0
759,Egypt,1884,0.0
760,Egypt,1886,0.0
761,Egypt,1888,0.0
762,Egypt,1890,1.0
763,Egypt,1892,0.0
764,Egypt,1896,0.0
765,Egypt,1900,0.0
766,Egypt,1902,0.0
767,Egypt,1906,0.0
768,Egypt,1908,0.0
769,Egypt,1912,0.0
770,Egypt,1914,0.0
771,Egypt,1916,0.0
772,Egypt,1918,0.0
773,Egypt,1920,0.0
774,Egypt,1922,1.0
775,Egypt,1924,0.0
776,Egypt,1926,0.0
777,Egypt,1928,0.0
778,Egypt,1930,0.0
779,Egypt,1932,1.0
780,Egypt,1934,0.0
781,Egypt,1936,0.0
782,Egypt,1938,0.0
783,Egypt,1940,0.0
784,Finland,1878,0.0
785,Finland,1880,0.0
786,Finland,1882,0.0
787,Finland,1884,0.0
788,Finland,1886,0.0
789,Finland,1888,0.0
790,Finland,1890,0.0
791,Finland,1892,0.0
792,Finland,1896,0.0
793,Finland,1900,0.0
794,Finland,1902,0.0
795,Finland,1906,0.0
796,Finland,1908,1.0
797,Finland,1912,0.0
798,Finland,1914,0.0
799,Finland,1916,2.0
800,Finland,1918,0.0
801,Finland,1920,1.0
802,Finland,1922,0.0
803,Finland,1924,1.0
804,Finland,1926,2.0
805,Finland,1928,0.0
806,Finland,1930,2.0
807,Finland,1932,0.0
808,Finland,1934,0.0
809,Finland,1936,0.0
810,Finland,1938,0.0
811,Finland,1940,0.0
812,France,1878,4.0
813,France,1880,1.0
814,France,1882,1.0
815,France,1884,2.0
816,France,1886,1.0
817,France,1888,5.0
818,France,1890,3.0
819,France,1892,5.0
820,France,1896,4.0
821,France,1900,2.0
822,France,1902,2.0
823,France,1906,2.0
824,France,1908,1.0
825,France,1912,2.0
826,France,1914,4.0
827,France,1916,1.0
828,France,1918,0.0
829,France,1920,1.0
830,France,1922,3.0
831,France,1924,0.0
832,France,1926,1.0
833,France,1928,1.0
834,France,1930,3.0
835,France,1932,5.0
836,France,1934,0.0
837,France,1936,0.0
838,France,1938,0.0
839,France,1940,0.0
840,Germany,1878,4.0
841,Germany,1880,8.0
842,Germany,1882,12.0
843,Germany,1884,15.0
844,Germany,1886,12.0
845,Germany,1888,14.0
846,Germany,1890,22.0
847,Germany,1892,26.0
848,Germany,1896,29.0
849,Germany,1900,14.0
850,Germany,1902,11.0
851,Germany,1906,17.0
852,Germany,1908,21.0
853,Germany,1912,19.0
854,Germany,1914,19.0
855,Germany,1916,11.0
856,Germany,1918,8.0
857,Germany,1920,2.0
858,Germany,1922,9.0
859,Germany,1924,12.0
860,Germany,1926,13.0
861,Germany,1928,4.0
862,Germany,1930,15.0
863,Germany,1932,8.0
864,Germany,1934,8.0
865,Germany,1936,5.0
866,Germany,1938,2.0
867,Germany,1940,1.0
868,Greece,1878,0.0
869,Greece,1880,0.0
870,Greece,1882,0.0
871,Greece,1884,0.0
872,Greece,1886,0.0
873,Greece,1888,0.0
874,Greece,1890,0.0
875,Greece,1892,0.0
876,Greece,1896,0.0
877,Greece,1900,0.0
878,Greece,1902,0.0
879,Greece,1906,1.0
880,Greece,1908,5.0
881,Greece,1912,0.0
882,Greece,1914,1.0
883,Greece,1916,7.0
884,Greece,1918,2.0
885,Greece,1920,5.0
886,Greece,1922,1.0
887,Greece,1924,10.0
888,Greece,1926,4.0
889,Greece,1928,8.0
890,Greece,1930,1.0
891,Greece,1932,2.0
892,Greece,1934,1.0
893,Greece,1936,4.0
894,Greece,1938,0.0
895,Greece,1940,0.0
896,Hawaii,1878,0.0
897,Hawaii,1880,0.0
898,Hawaii,1882,0.0
899,Hawaii,1884,0.0
900,Hawaii,1886,0.0
901,Hawaii,1888,0.0
902,Hawaii,1890,0.0
903,Hawaii,1892,0.0
904,Hawaii,1896,0.0
905,Hawaii,1900,0.0
906,Hawaii,1902,0.0
907,Hawaii,1906,0.0
908,Hawaii,1908,0.0
909,Hawaii,1912,1.0
910,Hawaii,1914,1.0
911,Hawaii,1916,0.0
912,Hawaii,1918,0.0
913,Hawaii,1920,0.0
914,Hawaii,1922,0.0
915,Hawaii,1924,1.0
916,Hawaii,1926,0.0
917,Hawaii,1928,0.0
918,Hawaii,1930,0.0
919,Hawaii,1932,1.0
920,Hawaii,1934,1.0
921,Hawaii,1936,0.0
922,Hawaii,1938,0.0
923,Hawaii,1940,0.0
924,Holland,1878,0.0
925,Holland,1880,0.0
926,Holland,1882,0.0
927,Holland,1884,0.0
928,Holland,1886,1.0
929,Holland,1888,1.0
930,Holland,1890,0.0
931,Holland,1892,0.0
932,Holland,1896,0.0
933,Holland,1900,0.0
934,Holland,1902,0.0
935,Holland,1906,0.0
936,Holland,1908,1.0
937,Holland,1912,0.0
938,Holland,1914,0.0
939,Holland,1916,1.0
940,Holland,1918,0.0
941,Holland,1920,0.0
942,Holland,1922,0.0
943,Holland,1924,0.0
944,Holland,1926,0.0
945,Holland,1928,0.0
946,Holland,1930,1.0
947,Holland,1932,1.0
948,Holland,1934,0.0
949,Holland,1936,0.0
950,Holland,1938,0.0
951,Holland,1940,0.0
952,Hungary,1878,0.0
953,Hungary,1880,0.0
954,Hungary,1882,0.0
955,Hungary,1884,1.0
956,Hungary,1886,0.0
957,Hungary,1888,0.0
958,Hungary,1890,2.0
959,Hungary,1892,0.0
960,Hungary,1896,1.0
961,Hungary,1900,0.0
962,Hungary,1902,1.0
963,Hungary,1906,1.0
964,Hungary,1908,4.0
965,Hungary,1912,1.0
966,Hungary,1914,1.0
967,Hungary,1916,3.0
968,Hungary,1918,1.0
969,Hungary,1920,1.0
970,Hungary,1922,0.0
971,Hungary,1924,0.0
972,Hungary,1926,1.0
973,Hungary,1928,1.0
974,Hungary,1930,0.0
975,Hungary,1932,1.0
976,Hungary,1934,0.0
977,Hungary,1936,1.0
978,Hungary,1938,1.0
979,Hungary,1940,0.0
980,India,1878,0.0
981,India,1880,0.0
982,India,1882,0.0
983,India,1884,0.0
984,India,1886,0.0
985,India,1888,0.0
986,India,1890,0.0
987,India,1892,0.0
988,India,1896,0.0
989,India,1900,0.0
990,India,1902,0.0
991,India,1906,0.0
992,India,1908,0.0
993,India,1912,0.0
994,India,1914,1.0
995,India,1916,1.0
996,India,1918,1.0
997,India,1920,0.0
998,India,1922,0.0
999,India,1924,1.0
